Size	   Bubble Sort	Selection Sort	Insertion Sort
50	49583.72	17712.4	39690.73
100	33886.227	13882.315	104824.18
150	65573.45	25521.385	46461.465
200	98764.04	36303.035	21637.125
250	149072.0	54251.887	31971.135
300	214951.05	77594.93	46349.04
350	281669.9	100257.64	59215.445
400	363343.12	129084.92	76355.56
450	454349.72	161787.78	95464.8
500	554982.4	197454.16	115851.47
550	667473.94	235559.56	139036.55
600	784460.9	276665.7	165081.7
650	916292.3	321341.75	190699.02
700	1059265.1	370074.1	219837.12
750	1211384.1	423367.44	251698.28
800	1381410.2	481234.72	285470.0
850	1567010.5	550844.75	331036.25
900	1730212.4	601426.25	358522.8
950	1923908.4	666649.06	397041.2
1000	2127253.0	740665.06	440300.84
